配置ID,第2口觸發點,第2口回檔率,第3口觸發點,總P&L,LONG_P&L,SHORT_P&L,總交易次數,LONG交易次數,SHORT交易次數,總勝率,LONG勝率,SHORT勝率,執行時間
1008,39,20%,60,1421.4,305.6,1115.8,124,68,56,51.6%,48.5%,55.4%,0.445s
1009,39,25%,40,1586.6,660.6,926.0,136,76,60,57.4%,56.6%,58.3%,0.437s
1010,39,25%,41,1637.8,671.8,966.0,136,76,60,57.4%,56.6%,58.3%,0.440s
1011,39,25%,42,1446.4,547.9,898.5,133,74,59,56.4%,55.4%,57.6%,0.476s
1012,39,25%,43,1418.9,489.2,929.7,132,73,59,56.1%,54.8%,57.6%,0.438s
1013,39,25%,44,1437.3,489.2,948.1,132,73,59,56.1%,54.8%,57.6%,0.435s
1014,39,25%,45,1339.1,359.8,979.3,131,72,59,55.0%,52.8%,57.6%,0.440s
1015,39,25%,46,1375.9,360.6,1015.3,131,72,59,55.0%,52.8%,57.6%,0.519s
1016,39,25%,47,1355.0,405.5,949.6,130,72,58,54.6%,52.8%,56.9%,0.433s
1017,39,25%,48,1379.0,412.7,966.4,130,72,58,54.6%,52.8%,56.9%,0.441s
1018,39,25%,49,1224.6,243.0,981.6,128,70,58,53.9%,51.4%,56.9%,0.472s
1019,39,25%,50,1210.8,194.0,1016.8,128,70,58,53.1%,50.0%,56.9%,0.436s
1020,39,25%,51,1255.6,219.6,1036.0,128,70,58,53.1%,50.0%,56.9%,0.484s
1021,39,25%,52,1334.0,294.1,1040.0,128,70,58,53.1%,50.0%,56.9%,0.437s
1022,39,25%,53,1391.6,338.9,1052.8,128,70,58,53.1%,50.0%,56.9%,0.435s
1023,39,25%,54,1181.1,186.1,995.0,126,69,57,52.4%,49.3%,56.1%,0.436s
1024,39,25%,55,1217.1,194.9,1022.2,126,69,57,52.4%,49.3%,56.1%,0.487s
1025,39,25%,56,1329.1,284.5,1044.6,126,69,57,52.4%,49.3%,56.1%,0.436s
1026,39,25%,57,1192.9,210.3,982.5,124,68,56,51.6%,48.5%,55.4%,0.449s
1027,39,25%,58,1220.1,218.3,1001.8,124,68,56,51.6%,48.5%,55.4%,0.444s
1028,39,25%,59,1249.7,244.7,1005.0,124,68,56,51.6%,48.5%,55.4%,0.450s
1029,39,25%,60,1293.7,249.5,1044.2,124,68,56,51.6%,48.5%,55.4%,0.488s
1030,39,30%,40,1469.5,589.4,880.1,136,76,60,57.4%,56.6%,58.3%,0.485s
1031,39,30%,41,1520.7,600.6,920.1,136,76,60,57.4%,56.6%,58.3%,0.465s
1032,39,30%,42,1335.4,480.8,854.6,133,74,59,56.4%,55.4%,57.6%,0.468s
1033,39,30%,43,1310.0,424.2,885.8,132,73,59,56.1%,54.8%,57.6%,0.438s
1034,39,30%,44,1328.4,424.2,904.2,132,73,59,56.1%,54.8%,57.6%,0.484s
1035,39,30%,45,1232.3,296.9,935.4,131,72,59,55.0%,52.8%,57.6%,0.438s
1036,39,30%,46,1269.1,297.7,971.4,131,72,59,55.0%,52.8%,57.6%,0.446s
1037,39,30%,47,1250.5,342.5,908.0,130,72,58,54.6%,52.8%,56.9%,0.444s
1038,39,30%,48,1274.5,349.7,924.8,130,72,58,54.6%,52.8%,56.9%,0.481s
1039,39,30%,49,1124.9,184.9,940.0,128,70,58,53.9%,51.4%,56.9%,0.435s
1040,39,30%,50,1111.1,135.9,975.2,128,70,58,53.1%,50.0%,56.9%,0.437s
1041,39,30%,51,1155.9,161.5,994.4,128,70,58,53.1%,50.0%,56.9%,1.091s
1042,39,30%,52,1234.3,235.9,998.4,128,70,58,53.1%,50.0%,56.9%,0.594s
1043,39,30%,53,1291.9,280.7,1011.2,128,70,58,53.1%,50.0%,56.9%,0.442s
1044,39,30%,54,1088.5,132.8,955.7,126,69,57,52.4%,49.3%,56.1%,0.465s
1045,39,30%,55,1124.5,141.6,982.9,126,69,57,52.4%,49.3%,56.1%,0.494s
1046,39,30%,56,1236.5,231.2,1005.3,126,69,57,52.4%,49.3%,56.1%,0.442s
1047,39,30%,57,1104.8,159.6,945.2,124,68,56,51.6%,48.5%,55.4%,0.456s
1048,39,30%,58,1132.0,167.6,964.4,124,68,56,51.6%,48.5%,55.4%,0.443s
1049,39,30%,59,1161.6,194.0,967.6,124,68,56,51.6%,48.5%,55.4%,0.437s
1050,39,30%,60,1205.6,198.8,1006.8,124,68,56,51.6%,48.5%,55.4%,0.488s
1051,40,10%,40,2111.3,932.1,1179.2,136,76,60,57.4%,56.6%,58.3%,0.446s
1052,40,10%,41,2162.5,943.3,1219.2,136,76,60,57.4%,56.6%,58.3%,0.437s
1053,40,10%,42,1952.6,807.1,1145.5,133,74,59,56.4%,55.4%,57.6%,0.439s
1054,40,10%,43,1918.8,742.1,1176.7,132,73,59,56.1%,54.8%,57.6%,0.504s
1055,40,10%,44,1937.2,742.1,1195.1,132,73,59,56.1%,54.8%,57.6%,0.453s
1056,40,10%,45,1832.9,606.6,1226.3,131,72,59,55.0%,52.8%,57.6%,0.438s
1057,40,10%,46,1869.7,607.4,1262.3,131,72,59,55.0%,52.8%,57.6%,0.451s
1058,40,10%,47,1841.9,652.2,1189.7,130,72,58,54.6%,52.8%,56.9%,0.445s
1059,40,10%,48,1865.9,659.4,1206.5,130,72,58,54.6%,52.8%,56.9%,0.500s
1060,40,10%,49,1697.1,475.4,1221.7,128,70,58,53.9%,51.4%,56.9%,0.443s
1061,40,10%,50,1683.3,426.4,1256.9,128,70,58,53.1%,50.0%,56.9%,0.439s
1062,40,10%,51,1728.1,452.0,1276.1,128,70,58,53.1%,50.0%,56.9%,0.440s
1063,40,10%,52,1806.5,526.4,1280.1,128,70,58,53.1%,50.0%,56.9%,0.544s
1064,40,10%,53,1864.1,571.2,1292.9,128,70,58,53.1%,50.0%,56.9%,0.442s
1065,40,10%,54,1635.9,407.5,1228.4,126,69,57,52.4%,49.3%,56.1%,0.451s
1066,40,10%,55,1671.9,416.3,1255.6,126,69,57,52.4%,49.3%,56.1%,0.469s
1067,40,10%,56,1783.9,505.9,1278.0,126,69,57,52.4%,49.3%,56.1%,0.448s
1068,40,10%,57,1620.5,423.9,1196.6,124,68,56,51.6%,48.5%,55.4%,0.439s
1069,40,10%,58,1647.7,431.9,1215.8,124,68,56,51.6%,48.5%,55.4%,0.491s
1070,40,10%,59,1677.3,458.3,1219.0,124,68,56,51.6%,48.5%,55.4%,0.436s
1071,40,10%,60,1721.3,463.1,1258.2,124,68,56,51.6%,48.5%,55.4%,0.439s
1072,40,15%,40,1936.1,837.8,1098.3,136,76,60,57.4%,56.6%,58.3%,0.440s
1073,40,15%,41,1987.3,849.0,1138.3,136,76,60,57.4%,56.6%,58.3%,0.486s
1074,40,15%,42,1783.6,716.9,1066.7,133,74,59,56.4%,55.4%,57.6%,0.446s
1075,40,15%,43,1751.9,654.0,1097.9,132,73,59,56.1%,54.8%,57.6%,0.435s
1076,40,15%,44,1770.3,654.0,1116.3,132,73,59,56.1%,54.8%,57.6%,0.453s
1077,40,15%,45,1668.0,520.6,1147.5,131,72,59,55.0%,52.8%,57.6%,0.482s
1078,40,15%,46,1704.8,521.4,1183.5,131,72,59,55.0%,52.8%,57.6%,0.438s
1079,40,15%,47,1679.3,566.2,1113.2,130,72,58,54.6%,52.8%,56.9%,0.503s
1080,40,15%,48,1703.4,573.4,1130.0,130,72,58,54.6%,52.8%,56.9%,0.464s
1081,40,15%,49,1539.3,394.2,1145.2,128,70,58,53.9%,51.4%,56.9%,0.439s
1082,40,15%,50,1525.5,345.2,1180.4,128,70,58,53.1%,50.0%,56.9%,0.487s
1083,40,15%,51,1570.3,370.8,1199.6,128,70,58,53.1%,50.0%,56.9%,0.440s
1084,40,15%,52,1648.7,445.2,1203.6,128,70,58,53.1%,50.0%,56.9%,0.436s
1085,40,15%,53,1706.4,490.0,1216.4,128,70,58,53.1%,50.0%,56.9%,0.439s
1086,40,15%,54,1485.0,330.9,1154.1,126,69,57,52.4%,49.3%,56.1%,0.439s
1087,40,15%,55,1521.0,339.7,1181.3,126,69,57,52.4%,49.3%,56.1%,0.436s
1088,40,15%,56,1633.0,429.3,1203.7,126,69,57,52.4%,49.3%,56.1%,0.509s
1089,40,15%,57,1474.9,349.9,1125.0,124,68,56,51.6%,48.5%,55.4%,0.445s
1090,40,15%,58,1502.2,357.9,1144.2,124,68,56,51.6%,48.5%,55.4%,0.440s
1091,40,15%,59,1531.7,384.3,1147.4,124,68,56,51.6%,48.5%,55.4%,0.459s
1092,40,15%,60,1575.7,389.1,1186.6,124,68,56,51.6%,48.5%,55.4%,0.502s
1093,40,20%,40,1769.8,750.0,1019.8,136,76,60,57.4%,56.6%,58.3%,0.451s
1094,40,20%,41,1821.0,761.2,1059.8,136,76,60,57.4%,56.6%,58.3%,0.441s
1095,40,20%,42,1623.4,633.2,990.2,133,74,59,56.4%,55.4%,57.6%,0.439s
1096,40,20%,43,1593.8,572.4,1021.4,132,73,59,56.1%,54.8%,57.6%,0.447s
1097,40,20%,44,1612.2,572.4,1039.8,132,73,59,56.1%,54.8%,57.6%,0.487s
1098,40,20%,45,1512.0,441.0,1071.0,131,72,59,55.0%,52.8%,57.6%,0.438s
1099,40,20%,46,1548.8,441.8,1107.0,131,72,59,55.0%,52.8%,57.6%,0.441s
1100,40,20%,47,1525.6,486.6,1039.0,130,72,58,54.6%,52.8%,56.9%,0.438s
1101,40,20%,48,1549.6,493.8,1055.8,130,72,58,54.6%,52.8%,56.9%,0.438s
1102,40,20%,49,1390.4,319.4,1071.0,128,70,58,53.9%,51.4%,56.9%,0.490s
1103,40,20%,50,1376.6,270.4,1106.2,128,70,58,53.1%,50.0%,56.9%,0.440s
1104,40,20%,51,1421.4,296.0,1125.4,128,70,58,53.1%,50.0%,56.9%,0.455s
1105,40,20%,52,1499.8,370.4,1129.4,128,70,58,53.1%,50.0%,56.9%,0.438s
1106,40,20%,53,1557.4,415.2,1142.2,128,70,58,53.1%,50.0%,56.9%,0.490s
1107,40,20%,54,1343.0,260.8,1082.2,126,69,57,52.4%,49.3%,56.1%,0.454s
1108,40,20%,55,1379.0,269.6,1109.4,126,69,57,52.4%,49.3%,56.1%,0.439s
1109,40,20%,56,1491.0,359.2,1131.8,126,69,57,52.4%,49.3%,56.1%,0.473s
1110,40,20%,57,1338.2,282.4,1055.8,124,68,56,51.6%,48.5%,55.4%,0.481s
1111,40,20%,58,1365.4,290.4,1075.0,124,68,56,51.6%,48.5%,55.4%,0.520s
1112,40,20%,59,1395.0,316.8,1078.2,124,68,56,51.6%,48.5%,55.4%,0.451s
1113,40,20%,60,1439.0,321.6,1117.4,124,68,56,51.6%,48.5%,55.4%,0.439s
1114,40,25%,40,1614.3,675.6,938.8,136,76,60,57.4%,56.6%,58.3%,0.436s
1115,40,25%,41,1665.5,686.8,978.8,136,76,60,57.4%,56.6%,58.3%,0.456s
1116,40,25%,42,1474.1,562.9,911.2,133,74,59,56.4%,55.4%,57.6%,0.487s
1117,40,25%,43,1446.6,504.2,942.4,132,73,59,56.1%,54.8%,57.6%,0.465s
1118,40,25%,44,1465.0,504.2,960.8,132,73,59,56.1%,54.8%,57.6%,0.453s
1119,40,25%,45,1366.9,374.8,992.0,131,72,59,55.0%,52.8%,57.6%,0.437s
1120,40,25%,46,1403.7,375.6,1028.0,131,72,59,55.0%,52.8%,57.6%,0.528s
1121,40,25%,47,1382.8,420.5,962.3,130,72,58,54.6%,52.8%,56.9%,0.467s
1122,40,25%,48,1406.8,427.7,979.1,130,72,58,54.6%,52.8%,56.9%,0.444s
1123,40,25%,49,1252.4,258.0,994.3,128,70,58,53.9%,51.4%,56.9%,0.441s
1124,40,25%,50,1238.5,209.0,1029.5,128,70,58,53.1%,50.0%,56.9%,0.442s
1125,40,25%,51,1283.4,234.6,1048.7,128,70,58,53.1%,50.0%,56.9%,0.479s
1126,40,25%,52,1361.8,309.1,1052.7,128,70,58,53.1%,50.0%,56.9%,0.437s
1127,40,25%,53,1419.4,353.9,1065.5,128,70,58,53.1%,50.0%,56.9%,0.441s
1128,40,25%,54,1208.9,201.1,1007.8,126,69,57,52.4%,49.3%,56.1%,0.449s
1129,40,25%,55,1244.9,209.9,1034.9,126,69,57,52.4%,49.3%,56.1%,0.468s
1130,40,25%,56,1356.9,299.5,1057.3,126,69,57,52.4%,49.3%,56.1%,0.503s
1131,40,25%,57,1209.4,225.3,984.0,124,68,56,51.6%,48.5%,55.4%,0.578s
1132,40,25%,58,1236.6,233.3,1003.3,124,68,56,51.6%,48.5%,55.4%,0.446s
1133,40,25%,59,1266.2,259.7,1006.5,124,68,56,51.6%,48.5%,55.4%,0.450s
1134,40,25%,60,1310.2,264.5,1045.7,124,68,56,51.6%,48.5%,55.4%,0.444s
1135,40,30%,40,1495.4,603.4,892.0,136,76,60,57.4%,56.6%,58.3%,0.444s
1136,40,30%,41,1546.6,614.6,932.0,136,76,60,57.4%,56.6%,58.3%,0.438s
1137,40,30%,42,1361.3,494.8,866.5,133,74,59,56.4%,55.4%,57.6%,0.437s
1138,40,30%,43,1335.9,438.2,897.7,132,73,59,56.1%,54.8%,57.6%,0.604s
1139,40,30%,44,1354.3,438.2,916.1,132,73,59,56.1%,54.8%,57.6%,0.511s
1140,40,30%,45,1258.2,310.9,947.3,131,72,59,55.0%,52.8%,57.6%,0.438s
1141,40,30%,46,1295.0,311.7,983.3,131,72,59,55.0%,52.8%,57.6%,0.443s
1142,40,30%,47,1276.4,356.5,919.9,130,72,58,54.6%,52.8%,56.9%,0.445s
1143,40,30%,48,1300.4,363.7,936.7,130,72,58,54.6%,52.8%,56.9%,0.546s
1144,40,30%,49,1150.8,198.9,951.9,128,70,58,53.9%,51.4%,56.9%,0.463s
1145,40,30%,50,1137.0,149.9,987.1,128,70,58,53.1%,50.0%,56.9%,0.439s
1146,40,30%,51,1181.8,175.5,1006.3,128,70,58,53.1%,50.0%,56.9%,0.447s
1147,40,30%,52,1260.2,249.9,1010.3,128,70,58,53.1%,50.0%,56.9%,0.502s
1148,40,30%,53,1317.8,294.7,1023.1,128,70,58,53.1%,50.0%,56.9%,0.451s
1149,40,30%,54,1114.4,146.8,967.6,126,69,57,52.4%,49.3%,56.1%,0.439s
1150,40,30%,55,1150.4,155.6,994.8,126,69,57,52.4%,49.3%,56.1%,0.439s
1151,40,30%,56,1262.4,245.2,1017.2,126,69,57,52.4%,49.3%,56.1%,0.446s
1152,40,30%,57,1120.2,173.6,946.6,124,68,56,51.6%,48.5%,55.4%,0.483s
1153,40,30%,58,1147.4,181.6,965.8,124,68,56,51.6%,48.5%,55.4%,0.446s
1154,40,30%,59,1177.0,208.0,969.0,124,68,56,51.6%,48.5%,55.4%,0.440s
1155,40,30%,60,1221.0,212.8,1008.2,124,68,56,51.6%,48.5%,55.4%,0.452s
